date,open,high,low,close
2004-03-18,680.03,690.63,680.03,687.19
2004-03-19,687.71,689.82,680.05,681.27
2004-03-22,679.77,684.38,676.64,681.34
2004-03-23,678.85,682.28,676.31,679.22
2004-03-24,679.18,682.97,677.61,677.61
2004-03-25,679.13,679.13,662.67,664.66
2004-03-26,665.52,668.13,659.31,665.25
2004-03-29,662.58,662.58,645.2,645.8
2004-03-30,647.07,654.94,647.07,649.21
2004-03-31,648.6,652.48,636.81,647.3
2004-04-01,646.13,671.92,641.29,671.92
2004-04-02,679.29,693.12,675.72,693.12
2004-04-05,693.85,713.27,693.85,709.89
2004-04-07,713.53,715.73,697.08,698.82
2004-04-08,701.16,705.79,691.69,691.69
2004-04-09,690.53,694.6,684.37,691.39
2004-04-12,692.5,702.08,690.76,701.72
2004-04-16,703.3,715.08,703.3,712.2
2004-04-19,714.27,719.37,704.65,704.65
2004-04-20,710.14,713.95,702.93,713.95
2004-04-21,711.74,717.3,706.64,706.65
2004-04-22,708.75,709.16,690.67,690.96
2004-04-23,691.82,691.91,678.31,681.88
2004-04-26,675.9,676.5,666.17,667.61
2004-04-27,668.5,680.89,665.01,680.89
2004-04-28,680.17,680.17,669.09,672.34
2004-04-29,667.63,668.16,652.66,656.38
2004-04-30,650.09,651.83,641.84,648.15
2004-05-04,648.35,649.54,641.8,644.1
2004-05-06,644.29,649.07,632.4,634.01
2004-05-07,633.05,637.15,620.09,636.8
2004-05-10,626.85,627.01,605.62,605.62
2004-05-11,606.04,619.77,606.04,618.1
2004-05-12,624.46,630.49,620.47,622.01
2004-05-13,621.25,624.53,610.26,611.23
2004-05-14,611.04,613.63,606.32,609.72
2004-05-17,604.87,604.87,579.38,581.61
2004-05-18,586.92,588.18,576.63,582.51
2004-05-19,591.48,614.99,591.48,614.99
2004-05-20,614.87,614.87,594.92,599.88
2004-05-21,603.08,617.89,603.08,615.41
2004-05-24,621.91,623.24,608.89,608.9
2004-05-25,608.8,608.8,600.52,601.51
2004-05-26,611.11,612.59,607.17,609.6
2004-05-27,614.65,630.72,614.6,630.72
2004-05-28,639.93,642.55,632.75,638.59
2004-05-31,627.31,641.05,625.83,641.05
2004-06-01,641.17,642.64,634.36,635.01
2004-06-03,636.61,640.25,623.03,627.54
2004-06-04,625.99,628.19,622.08,626.47
2004-06-07,631.05,633.68,624.41,625.83
2004-06-08,627.8,628.23,610.88,611.46
2004-06-09,607.38,613.02,605.66,611.61
2004-06-10,610.11,613.65,608.21,612.21
2004-06-11,612.54,618.36,612.02,613.13
2004-06-14,613.7,617.31,607.41,614.0
2004-06-15,609.64,616.84,609.31,613.76
2004-06-16,616.4,626.13,616.4,624.36
2004-06-17,624.81,629.24,621.69,623.72
2004-06-18,621.54,624.01,620.41,622.71
2004-06-21,624.88,631.52,624.0,630.03
2004-06-22,631.78,635.34,628.36,629.36
2004-06-23,631.28,631.96,626.19,627.24
2004-06-24,631.26,638.47,631.26,637.03
2004-06-25,641.55,645.74,639.01,644.0
2004-06-28,647.86,651.86,646.48,651.86
2004-06-29,652.89,655.19,647.49,649.62
2004-06-30,654.12,656.32,646.64,646.64
2004-07-02,642.45,647.57,640.21,647.57
2004-07-05,648.6,655.87,646.55,655.87
2004-07-06,658.26,666.87,656.4,664.69
2004-07-07,661.57,669.83,661.09,666.43
2004-07-08,668.92,671.1,659.04,659.14
2004-07-09,659.86,666.59,656.66,666.59
2004-07-12,667.03,668.24,661.45,661.49
2004-07-13,661.07,666.9,659.92,663.0
2004-07-14,664.07,664.99,650.31,652.79
2004-07-15,652.8,654.84,644.35,646.76
2004-07-16,646.77,651.62,644.28,646.11
2004-07-19,644.25,644.25,637.85,642.12
2004-07-20,641.26,648.24,641.26,645.58
2004-07-21,650.57,656.54,650.57,655.82
2004-07-22,654.89,654.89,648.83,650.12
2004-07-23,651.09,651.59,646.24,648.47
2004-07-26,647.76,647.98,633.42,633.42
2004-07-27,633.42,638.15,632.13,633.21
2004-07-28,640.38,640.38,631.06,634.73
2004-07-29,633.55,634.48,625.23,631.42
2004-07-30,633.81,637.67,632.54,636.7
