date,ytm
2012-08-04,4.040128
2012-08-05,4.040383
2012-08-06,4.038122
2012-08-07,4.013245
2012-08-08,4.008599
2012-08-09,4.014753
2012-08-10,4.007588
2012-08-11,4.007845
2012-08-12,4.008104
2012-08-13,4.008367
2012-08-14,4.016665
2012-08-15,4.035159
2012-08-16,4.096287
2012-08-17,4.092602
2012-08-18,4.09288
2012-08-19,4.093154
2012-08-20,4.145862
2012-08-21,4.174646
2012-08-22,4.148601
2012-08-23,4.103745
2012-08-24,4.105138
2012-08-25,4.105414
2012-08-26,4.105692
2012-08-27,4.110194
2012-08-28,4.107383
2012-08-29,4.106998
2012-08-30,4.108419
2012-08-31,4.0989
2012-09-01,4.09918
2012-09-02,4.099468
2012-09-03,4.070077
2012-09-04,4.077172
2012-09-05,4.081273
2012-09-06,4.096027
2012-09-07,4.128816
2012-09-08,4.129113
2012-09-09,4.129408
2012-09-10,4.156849
2012-09-11,4.182175
2012-09-12,4.236648
2012-09-13,4.232164
2012-09-14,4.206922
2012-09-15,4.207247
2012-09-16,4.207586
2012-09-17,4.257006
2012-09-18,4.245746
2012-09-19,4.244184
2012-09-20,4.219567
2012-09-21,4.229537
2012-09-22,4.229868
2012-09-23,4.230202
2012-09-24,4.231033
2012-09-25,4.223275
2012-09-26,4.199303
2012-09-27,4.19932
2012-09-28,4.195127
2012-09-29,4.195449
2012-09-30,4.195719
2012-10-01,4.18293
2012-10-02,4.165973
2012-10-03,4.14088
2012-10-04,4.15474
2012-10-05,4.157957
2012-10-06,4.158253
2012-10-07,4.158554
2012-10-08,4.159349
2012-10-09,4.152803
2012-10-10,4.149075
2012-10-11,4.152099
2012-10-12,4.161461
2012-10-13,4.161749
2012-10-14,4.162013
2012-10-15,4.1727360000000004
2012-10-16,4.17962
2012-10-17,4.024677
2012-10-18,4.020068
2012-10-19,4.020663
2012-10-20,4.020975
2012-10-21,4.021282
2012-10-22,4.021762
2012-10-23,4.02207
2012-10-24,4.01039
2012-10-25,4.015655
2012-10-26,4.006089
2012-10-27,4.006396
2012-10-28,4.006706
2012-10-29,4.006867
2012-10-30,3.985759
2012-10-31,3.995282
2012-11-01,3.979121
2012-11-02,3.975475
2012-11-03,3.9757569999999998
2012-11-04,3.97604
2012-11-05,3.967091
2012-11-06,3.963079
2012-11-07,3.9721219999999997
2012-11-08,3.968573
2012-11-09,3.9735959999999997
2012-11-10,3.973896
2012-11-11,3.974196
2012-11-12,3.998334
2012-11-13,3.993596
2012-11-14,4.024765
2012-11-15,4.032118
2012-11-16,4.02129
2012-11-17,4.021606
2012-11-18,4.021924
2012-11-19,4.021192
2012-11-20,4.011059
2012-11-21,4.020333
2012-11-22,4.016817
2012-11-23,4.018098
2012-11-24,4.018418
2012-11-25,4.01873
2012-11-26,4.021143
2012-11-27,4.022264
2012-11-28,4.022846
2012-11-29,4.043206
2012-11-30,4.058834
2012-12-01,4.059152
2012-12-02,4.059472
2012-12-03,4.08881
2012-12-04,4.076609
2012-12-05,4.07693
2012-12-06,4.052511
2012-12-07,4.046891
2012-12-08,4.047197
2012-12-09,4.047503
2012-12-10,4.047811
2012-12-11,4.044343
2012-12-12,4.065221
2012-12-13,4.079753
2012-12-14,4.094452
2012-12-15,4.094777
2012-12-16,4.095099
2012-12-17,4.101886
2012-12-18,4.123002
2012-12-19,4.099867
2012-12-20,4.083061
2012-12-21,4.074971
2012-12-22,4.07529
2012-12-23,4.075607
2012-12-24,4.07451
2012-12-25,4.07231
2012-12-26,4.062708
2012-12-27,4.060578
2012-12-28,4.064688
2012-12-29,4.065005
2012-12-30,4.065327
2012-12-31,4.065711
2013-01-01,4.066032
2013-01-02,4.102494
2013-01-03,4.085727
2013-01-04,4.11674
2013-01-05,4.117085
2013-01-06,4.117433
2013-01-07,4.113612
2013-01-08,4.119942
2013-01-09,4.112027
2013-01-10,4.122817
2013-01-11,4.144359
2013-01-12,4.14472
2013-01-13,4.145082
2013-01-14,4.132289
2013-01-15,4.116374
2013-01-16,4.11181
2013-01-17,4.102687
2013-01-18,4.110421
2013-01-19,4.110788
2013-01-20,4.111148
2013-01-21,4.115079
2013-01-22,4.134717
2013-01-23,4.129202
2013-01-24,4.124737
2013-01-25,4.127935
2013-01-26,4.128312
2013-01-27,4.128687
2013-01-28,4.133975
2013-01-29,4.129756
2013-01-30,4.130415
2013-01-31,4.12522
2013-02-01,4.113914
2013-02-02,4.114284
2013-02-03,4.114665
2013-02-04,4.099657
2013-02-05,4.07223
2013-02-06,4.066149
2013-02-07,4.032261
2013-02-08,4.00771
2013-02-09,4.008081
2013-02-10,4.008448
2013-02-11,4.002517
2013-02-12,4.01923
2013-02-13,4.02564
